area,year,pop_estimate
Louisiana,2013,4626040
Maine,2013,1328543
Maryland,2013,5925197
Massachusetts,2013,6715158
Michigan,2013,9914802
Minnesota,2013,5414722
Mississippi,2013,2989839
Missouri,2013,6042989
Montana,2013,1014158
Nebraska,2013,1865813
Nevada,2013,2776956
New Hampshire,2013,1327272
New Jersey,2013,8857821
New Mexico,2013,2092833
New York,2013,19626488
North Carolina,2013,9846717
North Dakota,2013,723149
Ohio,2013,11579692
Oklahoma,2013,3853891
Oregon,2013,3924110
Pennsylvania,2013,12779538
Rhode Island,2013,1055560
South Carolina,2013,4766469
South Dakota,2013,842751
Tennessee,2013,6496943
Texas,2013,26479646
Utah,2013,2898773
Vermont,2013,626603
Virginia,2013,8255861
Washington,2013,6966252
West Virginia,2013,1854768
Wisconsin,2013,5738012
Wyoming,2013,582620
Alabama,2014,4843737
Alaska,2014,737075
Arizona,2014,6732873
Arkansas,2014,2968759
California,2014,38586706
Colorado,2014,5352637
Connecticut,2014,3595697
Delaware,2014,933131
District of Columbia,2014,663603
Florida,2014,19853880
Georgia,2014,10071204
Hawaii,2014,1415335
Idaho,2014,1632248
Illinois,2014,12885092
Indiana,2014,6596019
Iowa,2014,3110643
Kansas,2014,2901861
Kentucky,2014,4416992
Louisiana,2014,4645938
Maine,2014,1331217
Maryland,2014,5960064
Massachusetts,2014,6764864
Michigan,2014,9932033
Minnesota,2014,5452665
Mississippi,2014,2991892
Missouri,2014,6059130
Montana,2014,1022657
Nebraska,2014,1879955
Nevada,2014,2818935
New Hampshire,2014,1334257
New Jersey,2014,8867277
New Mexico,2014,2090236
New York,2014,19653431
North Carolina,2014,9937295
North Dakota,2014,738736
Ohio,2014,11606573
Oklahoma,2014,3879187
Oregon,2014,3965447
Pennsylvania,2014,12792392
Rhode Island,2014,1056511
South Carolina,2014,4826858
South Dakota,2014,849670
Tennessee,2014,6544617
Texas,2014,26963092
Utah,2014,2938327
Vermont,2014,625693
Virginia,2014,8315430
Washington,2014,7057531
West Virginia,2014,1850569
Wisconsin,2014,5753199
Wyoming,2014,583159
Alabama,2015,4854803
Alaska,2015,738430
Arizona,2015,6832810
Arkansas,2015,2979732
California,2015,38904296
Colorado,2015,5454328
Connecticut,2015,3588561
Delaware,2015,942065
District of Columbia,2015,677014
Florida,2015,20219111
Georgia,2015,10183353
Hawaii,2015,1422999
Idaho,2015,1652495
Illinois,2015,12859585
Indiana,2015,6611442
Iowa,2015,3122541
Kansas,2015,2910717
Kentucky,2015,4429126
Louisiana,2015,4666998
Maine,2015,1329098
Maryland,2015,5988528
Massachusetts,2015,6797484
Michigan,2015,9934483
Minnesota,2015,5484002
Mississippi,2015,2990231
Missouri,2015,6075411
Montana,2015,1031495
Nebraska,2015,1892059
Nevada,2015,2868531
New Hampshire,2015,1337480
New Jersey,2015,8870312
New Mexico,2015,2090071
New York,2015,19657321
North Carolina,2015,10037218
North Dakota,2015,755537
Ohio,2015,11622315
Oklahoma,2015,3910518
Oregon,2015,4018542
Pennsylvania,2015,12789838
Rhode Island,2015,1056886
South Carolina,2015,4896006
South Dakota,2015,854663
Tennessee,2015,6595354
Texas,2015,27468531
Utah,2015,2983626
Vermont,2015,625810
Virginia,2015,8367303
Washington,2015,7167287
West Virginia,2015,1843332
Wisconsin,2015,5762927
Wyoming,2015,586389
Alabama,2016,4866824
Alaska,2016,742575
Arizona,2016,6944767
Arkansas,2016,2991815
California,2016,39149186
Colorado,2016,5543844
Connecticut,2016,3579830
Delaware,2016,949989
District of Columbia,2016,687576
Florida,2016,20627237
Georgia,2016,10308442
Hawaii,2016,1428885
Idaho,2016,1684036
Illinois,2016,12821709
Indiana,2016,6637898
Iowa,2016,3133210
Kansas,2016,2912977
Kentucky,2016,4440306
Louisiana,2016,4681346
Maine,2016,1332348
Maryland,2016,6007014
Massachusetts,2016,6827280
Michigan,2016,9954117
Minnesota,2016,5525360
Mississippi,2016,2990595
Missouri,2016,6091384
Montana,2016,1042137
Nebraska,2016,1906483
Nevada,2016,2919555
New Hampshire,2016,1343694
New Jersey,2016,8873584
New Mexico,2016,2092555
New York,2016,19636391
North Carolina,2016,10161802
North Dakota,2016,756114
Ohio,2016,11640060
Oklahoma,2016,3928143
Oregon,2016,4093271
Pennsylvania,2016,12788468
Rhode Island,2016,1057816
South Carolina,2016,4963031
South Dakota,2016,863693
Tennessee,2016,6651277
Texas,2016,27914064
Utah,2016,3044241
Vermont,2016,624366
Virginia,2016,8417651
Washington,2016,7299961
West Virginia,2016,1832435
Wisconsin,2016,5775170
Wyoming,2016,585243
Alabama,2017,4877989
Alaska,2017,740983
Arizona,2017,7048088
Arkansas,2017,3003855
California,2017,39337785
Colorado,2017,5617421
Connecticut,2017,3575324
Delaware,2017,957942
District of Columbia,2017,697079
Florida,2017,20977089
Georgia,2017,10417031
Hawaii,2017,1425763
Idaho,2017,1719745
Illinois,2017,12779893
Indiana,2017,6662068
Iowa,2017,3143734
Kansas,2017,2910892
Kentucky,2017,4455590
Louisiana,2017,4673673
Maine,2017,1335743
Maryland,2017,6028186
Massachusetts,2017,6863560
Michigan,2017,9976752
Minnesota,2017,5569283
Mississippi,2017,2990674
Missouri,2017,6111382
Montana,2017,1053862
Nebraska,2017,1916998
Nevada,2017,2972097
New Hampshire,2017,1350395
New Jersey,2017,8888147
New Mexico,2017,2092844
New York,2017,19593849
North Carolina,2017,10275758
North Dakota,2017,756755
Ohio,2017,11665706
Oklahoma,2017,3933602
Oregon,2017,4147294
Pennsylvania,2017,12794679
Rhode Island,2017,1056554
South Carolina,2017,5027102
South Dakota,2017,873732
Tennessee,2017,6714748
Texas,2017,28291024
Utah,2017,3103540
Vermont,2017,625132
Virginia,2017,8471011
Washington,2017,7427951
West Virginia,2017,1818683
Wisconsin,2017,5793147
Wyoming,2017,579994
Alabama,2018,4891628
Alaska,2018,736624
Arizona,2018,7164228
Arkansas,2018,3012161
California,2018,39437463
Colorado,2018,5697155
Connecticut,2018,3574561
Delaware,2018,966985
District of Columbia,2018,704147
Florida,2018,21254926
Georgia,2018,10519389
Hawaii,2018,1423102
Idaho,2018,1752074
Illinois,2018,12724685
Indiana,2018,6698481
Iowa,2018,3149900
Kansas,2018,2912748
Kentucky,2018,4464273
Louisiana,2018,4664450
Maine,2018,1340123
Maryland,2018,6042153
Massachusetts,2018,6885720
Michigan,2018,9987286
Minnesota,2018,5608762
Mississippi,2018,2982879
Missouri,2018,6125986
Montana,2018,1061818
Nebraska,2018,1925512
Nevada,2018,3030725
New Hampshire,2018,1355064
New Jersey,2018,8891730
New Mexico,2018,2093754
New York,2018,19544098
North Carolina,2018,10391358
North Dakota,2018,760062
Ohio,2018,11680892
Oklahoma,2018,3943488
Oregon,2018,4183538
Pennsylvania,2018,12809107
Rhode Island,2018,1059338
South Carolina,2018,5091702
South Dakota,2018,879386
Tennessee,2018,6778180
Texas,2018,28624564
Utah,2018,3155153
Vermont,2018,624802
Virginia,2018,8510920
Washington,2018,7526793
West Virginia,2018,1805953
Wisconsin,2018,5809319
Wyoming,2018,579054
Alabama,2019,4907965
Alaska,2019,733603
Arizona,2019,7291843
Arkansas,2019,3020985
California,2019,39437610
Colorado,2019,5758486
Connecticut,2019,3566022
Delaware,2019,976668
District of Columbia,2019,708253
Florida,2019,21492056
Georgia,2019,10628020
Hawaii,2019,1415615
Idaho,2019,1789060
Illinois,2019,12667017
Indiana,2019,6731010
Iowa,2019,3159596
Kansas,2019,2912635
Kentucky,2019,4472345
Louisiana,2019,4658285
Maine,2019,1345770
Maryland,2019,6054954
Massachusetts,2019,6894883
Michigan,2019,9984795
Minnesota,2019,5640053
Mississippi,2019,2978227
Missouri,2019,6140475
Montana,2019,1070123
Nebraska,2019,1932571
Nevada,2019,3090771
New Hampshire,2019,1360783
New Jersey,2019,8891258
New Mexico,2019,2099634
New York,2019,19463131
North Carolina,2019,10501384
North Dakota,2019,763724
Ohio,2019,11696507
Oklahoma,2019,3960676
Oregon,2019,4216116
Pennsylvania,2019,12798883
Rhode Island,2019,1058158
South Carolina,2019,5157702
South Dakota,2019,887127
Tennessee,2019,6830325
Texas,2019,28986794
Utah,2019,3203383
Vermont,2019,624046
Virginia,2019,8556642
Washington,2019,7614024
West Virginia,2019,1795263
Wisconsin,2019,5824581
Wyoming,2019,580116
Alabama,2020,5024803
Alaska,2020,732441
Arizona,2020,7177986
Arkansas,2020,3012232
California,2020,39499738
Colorado,2020,5784308
Connecticut,2020,3600260
Delaware,2020,991886
District of Columbia,2020,690093
Florida,2020,21569932
Georgia,2020,10725800
Hawaii,2020,1451911
Idaho,2020,1847772
Illinois,2020,12785245
Indiana,2020,6785644
Iowa,2020,3188669
Kansas,2020,2935880
Kentucky,2020,4503958
Louisiana,2020,4651203
Maine,2020,1362280
Maryland,2020,6172679
Massachusetts,2020,7022220
Michigan,2020,10067664
Minnesota,2020,5707165
Mississippi,2020,2956870
Missouri,2020,6154481
Montana,2020,1086193
Nebraska,2020,1961455
Nevada,2020,3114071
New Hampshire,2020,1377848
New Jersey,2020,9279743
New Mexico,2020,2117566
New York,2020,20154933
North Carolina,2020,10457177
North Dakota,2020,778962
Ohio,2020,11790587
Oklahoma,2020,3962031
Oregon,2020,4241544
Pennsylvania,2020,12989625
Rhode Island,2020,1096229
South Carolina,2020,5130729
South Dakota,2020,887099
Tennessee,2020,6920119
Texas,2020,29217653
Utah,2020,3281684
Vermont,2020,642495
Virginia,2020,8632044
Washington,2020,7718785
West Virginia,2020,1789798
Wisconsin,2020,5892323
Wyoming,2020,577267
